¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;cub;120.7379416;289.510915;26.16538257;1.305573522;24.54121202;19.71121844;21.06312447;1.799990616;25.28633392;20.90511478;-1.12643207;23.29380658;19.7453315;-5.782223536;20.1152036;24.19542483
1;cub;512.7147396;671.5264453;25.86118262;-2.296715685;20.79612942;20.16132386;19.95534489;-1.716460618;21.97507865;22.43509848;-4.711575265;19.99692125;-20.75933432;3.205335951;20.25614657;22.13132865
2;cub;231.4368568;737.5565272;22.67358467;-2.800686621;21.36318636;17.5746238;18.24211266;-0.420781527;22.13808698;18.71783291;-3.513666426;20.00467665;-17.48575039;-1.972637586;18.08437244;21.07142032
3;cub;614.7979725;60.38450398;15.80305506;0.64862652;14.59524946;13.15453854;11.50769655;-0.279341169;15.38163529;14.29779991;1.389927959;13.66517071;13.16149115;6.118133789;13.27864451;14.70967762
4;cub;1119.022919;606.0820265;17.93616183;1.091037644;15.30046444;14.08118353;13.95345139;1.455946944;17.28027567;14.85749799;3.489237154;14.03534628;14.77908065;1.873639547;14.30152813;15.70884711
5;cub;903.1953943;165.6154708;41.08534034;0.682551889;32.70625514;34.67499566;28.70863608;0.605907125;38.4755619;33.51588877;-0.171521343;34.72143005;31.0043467;-0.112794644;32.77862253;36.43389528
6;cub;999.6747854;264.1266527;16.04552905;0.070187495;14.39646305;13.58166589;12.2403654;-1.118410524;14.73572468;14.73521763;0.846618392;13.56175712;-13.66097139;11.842138;13.58929587;14.73533288
7;cub;604.2053729;82.12552561;9.83367857;-0.773839286;10.21777084;8.101109039;6.866288379;0.442720594;10.34212447;8.470323895;-0.162592817;-7.904109527;9.144593925;21.89556561;8.249238612;9.394756046
8;sf;142.2454632;796.3381089;13.27939061;-0.733862701;13.4629025;12.68712269;7.59903347;-0.565763796;13.53897574;12.37485145;-0.862713285;11.83961549;-11.52937163;2.141901336;11.68071561;12.89415791
9;sf;82.25875824;445.7374263;12.87280535;0.120077337;13.46117629;11.26811002;7.468691501;0.347305071;12.86877655;11.87857198;-0.371428459;-11.09147945;10.8315949;-3.401642932;-11.02307926;12.28989456
