¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;cub;516.8872709;153.3555452;42.42302268;1.045662716;32.83209875;33.48109654;31.64097027;1.149988284;37.79194229;34.12541809;0.216717644;33.37695255;32.71068574;1.843225829;33.12223255;35.44884422
1;cub;349.2137045;182.5054477;42.42650029;-0.786432497;33.38965749;35.36018393;32.53206868;-0.393062359;38.84465316;35.13971649;-1.584827668;33.30260925;-35.39089163;0.014718075;-33.41445356;37.07347912
2;cub;1055.913722;449.3563791;51.26790811;0.698801833;40.66473123;39.49788791;38.25506847;-0.232213596;43.69205885;42.97619449;12.44244876;40.09619672;39.99181362;-0.125165275;40.05347385;43.44303945
3;cub;83.85896313;737.4471139;37.30186653;-0.684476401;29.9454133;32.39302681;28.96253943;-0.623921807;35.16823712;32.5001905;0.146976372;32.39302137;-29.53874492;1.72073965;-30.93726521;33.76823712
4;cub;388.4618982;232.1234783;23.52964288;0.797910726;21.86261811;19.41794507;16.41868646;1.600414269;22.78915045;21.02573351;-0.043492676;19.22518301;20.58222542;-0.125718103;19.91717355;22.07899692
5;cub;1017.385486;384.4609497;32.68820669;0.488785461;31.38316293;25.35301514;26.30095335;-0.515569637;32.27529267;27.66273527;1.225083195;29.04161242;25.43617272;1.262216936;26.23332122;30.75753891
6;sf;248.6256781;498.9687686;21.66843011;0.257718615;22.8978014;18.08951835;14.25692487;-0.006153083;22.16640036;19.17405359;0.344738927;18.92414059;18.05506283;-1.941246989;18.66091112;20.75734685
7;hex;456.2531918;179.3203399;27.28388589;-1.704072417;30.95961749;14.80224799;18.06024382;-1.415618358;31.00125107;14.83962395;1.001106876;29.45211724;-14.52316069;7.757810402;-22.93617622;23.77055788
8;cub;958.3562775;582.7536326;19.24437826;-1.945866539;20.69121145;13.29821868;16.60428701;-1.238888671;20.7218655;14.42321385;0.579113978;18.53689312;-13.25033355;-1.20032849;-14.14736159;18.29329416
9;hex;450.9660309;260.088923;25.75279503;-0.463647601;34.48235313;11.53685027;23.67186019;0.427734166;35.05415599;12.49259036;-0.10511699;30.78741186;11.53684994;1.186111511;17.05953253;17.45975033
10;sf;364.7783054;114.3806057;23.15190839;-0.472793683;24.7820172;20.72885309;13.59803527;0.751484609;22.74105035;21.83289629;4.821225642;20.61847728;20.90930619;2.80300122;20.04022325;22.3899191
11;sf;417.7418558;118.8306315;19.16424391;2.659443259;19.68086764;16.87628123;11.69214055;1.003718147;18.98549214;17.92267341;1.943656914;16.19615698;16.57410604;1.479538667;17.11589949;18.48549214
12;hex;756.1005565;210.7242087;26.67052103;-1.816088649;33.60678934;12.73216597;23.25576649;-1.31243634;33.97633516;13.10858169;0.910051704;29.51221244;-12.45599745;-0.609084286;-16.52232519;17.23458683
13;hex;202.9056159;339.7206082;18.55157912;1.785032778;27.15766001;10.11317566;12.98890821;1.387410559;23.93356285;10.71172036;2.261177371;20.7857502;10.06335971;4.205290477;11.29647206;13.96291275
14;hex;372.9496891;292.4565683;26.27782434;-2.33772161;37.07352889;12.94455214;22.53618726;-0.826577151;36.31184969;13.38004071;0.402274534;31.98122286;-12.78146123;-1.121997386;-16.96847225;17.97735412
15;hex;196.8344223;192.0603173;31.15249487;-1.88107875;40.05412658;13.40983361;23.11033828;-1.258333035;38.99052791;13.79673097;17.40257605;13.48017273;-34.09755023;-1.030867971;-14.24463931;18.68584049
16;sf;262.9625468;529.7656501;10.47418991;0.365735772;11.32423053;8.585555952;6.276801993;-0.274607847;10.46433448;9.286079509;0.052759258;9.208663486;-8.428152651;-0.037111756;-9.013508981;9.907069524
17;sf;906.1441144;83.40319032;10.2706856;-1.693316592;10.78796683;8.757087465;6.201485819;-1.678681542;10.25001834;9.40499267;-2.361787761;9.301758527;-8.634489917;-2.004401997;-8.949071927;9.830281978
18;sf;212.4791277;228.5638629;9.424069594;-1.319555351;10.09864085;8.253356541;5.856038667;-1.487704201;9.892369308;8.566465974;-0.465051821;8.181723941;-8.449874091;-0.659506085;-8.238538897;9.191514607
19;sf;592.8368233;839.5791841;19.17685358;1.631280902;20.99882365;16.62350966;11.994701;1.653702366;20.05017096;17.18254505;2.401369802;17.87169447;16.24654829;0.821961086;16.62122151;18.40975887
20;sf;587.6164717;798.267219;18.84033224;2.010677901;19.89390855;16.16393801;11.90587781;1.451549537;18.98075619;17.31555197;2.226910898;17.74851755;15.45178963;1.290794028;16.28082302;17.86463058
21;sf;286.1482318;520.5402558;8.556300446;1.185263399;8.683710716;8.136834376;4.836019744;0.555687723;8.503754622;8.20987312;1.814342056;7.56250712;7.792264107;1.685486853;7.548457854;8.359123376
22;sf;566.0429918;531.1045347;19.77803312;-2.218176305;22.0367729;17.44491305;10.48186891;-0.779009853;19.8942293;18.14374659;1.010195235;16.29338112;-17.71960097;-0.735680339;-17.49653937;19.03059293
23;sf;409.1488889;710.8671429;19.2514721;-1.41090113;21.41873842;16.63615792;9.411382845;-1.437687171;19.74432429;16.93515348;-1.868867098;17.00280504;-15.36254687;-0.241844803;-16.40457976;17.85506956
