¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;hex;1043.038099;39.26732584;31.54684349;-0.095399966;35.91343233;15.7907342;25.43129743;0.218908171;34.60574886;16.43750041;0.094819698;39.96827866;1.739945266;0.483841159;19.18675206;23.7751112
1;cub;164.0031512;451.5217181;48.87498145;0.237835762;43.04464545;36.84907302;39.43150605;-0.056746957;45.88411906;38.45187967;0.937624003;42.3850088;36.47263718;1.07639231;37.94083749;43.13411908
2;hex;522.7896249;377.9835941;25.63923313;0.029480816;30.32967885;15.11833361;21.16002732;-0.020069889;29.70483183;16.23119867;-0.494244331;25.68222759;-15.02186707;-2.295992944;16.26111415;22.05028654
3;cub;177.097798;540.2018437;62.59962091;0.235544979;55.06730097;41.01012802;51.0679621;-0.209067297;57.51636055;43.71821122;4.033512073;53.23834621;41.01012805;0.909936977;44.71645761;53.8163606
4;cub;841.2702424;217.9647266;20.35774192;2.414950158;18.80363478;16.78514548;15.38514576;1.227184636;19.63445024;18.09792495;3.120495047;17.65018497;16.54365668;-1.55337503;16.92929219;18.71137332
5;sf;577.9189743;623.6136053;19.32938576;1.983874798;20.9234495;16.47873171;12.25236784;1.411438892;19.83855258;17.1585659;3.385447331;16.78988999;16.73380729;-7.607036519;-16.77527911;18.52972905
6;sf;158.7072019;727.0692641;20.74704067;1.036636437;21.89884543;18.10247502;12.71758993;-0.95397918;20.89280151;19.5504554;-2.90174874;18.63508182;-17.14927469;0.434851198;17.96791591;20.17194757
7;sf;201.4232073;729.2674529;21.01754017;-2.0102145;23.21499375;16.81198506;13.01613567;-1.172563515;21.60488577;18.09523787;-2.318993607;19.09201137;-17.21605856;21.66206808;17.58520771;19.67114793
8;hex;84.92635971;281.7567499;27.35085975;2.069018212;36.70061682;12.53175736;19.05154595;1.079199705;34.17747867;13.1934947;5.693970324;29.7319027;12.41915415;-1.603434597;14.39077299;17.10556513
9;sf;114.4750121;226.055313;10.90572575;1.557179307;12.00848777;9.464510149;6.23148111;1.414298764;11.16253959;9.84401413;-0.541015071;9.912917872;8.671077976;0.782858949;9.383917425;10.50493089
10;sf;379.3047619;214.6702381;9.740280609;-1.326437096;9.81769575;9.336970925;5.320525088;-0.452509168;9.838904014;9.150242097;-0.641255064;9.086194162;-7.950597406;-8.712674458;8.473043576;9.479573225
11;sf;797.2471809;383.6955345;11.33196608;-0.314168745;12.75139328;9.417709992;7.096516863;0.452361829;11.74658382;10.09600282;-0.38316698;9.493463262;9.859333944;3.481391422;-9.520582406;11.0193111
12;sf;779.3053992;649.0010423;16.43223125;1.491788754;18.32294687;14.80426334;8.658712961;1.271439574;16.92844038;14.99101662;1.894077457;14.4710608;14.12593971;2.286614994;-14.39658412;15.92467956
13;sf;752.955314;32.9673913;9.80619544;1.18781468;9.667933645;8.872861834;6.091732312;0.918691054;9.68472956;9.000247445;0.879032267;-8.688748605;8.647175955;13.2249845;-8.621132244;9.202517084
14;sf;709.5258677;530.0464964;9.274595795;1.437543801;9.893663905;8.399009215;5.059894252;1.070202366;9.409059827;8.628066482;2.172689766;8.113783607;8.209276667;-1.081062861;-8.10642846;8.986593405
15;sf;1088.909297;700.9510852;19.00843664;0.533500224;17.30943571;19.13955761;10.02035433;0.998149579;20.12733129;16.17841707;2.784553391;18.48306944;14.61840425;-5.831322586;16.14884785;17.92197418
16;sf;997.1238728;559.2168961;19.06111505;2.282113924;21.97751225;15.74861203;11.04172779;0.962329495;20.34863023;16.55338592;2.571252779;17.6435192;15.41450113;-3.725666209;16.47044415;18.02410476
17;sf;918.2099712;747.6049856;18.88043459;1.949223708;22.05415697;15.21115891;12.82099109;1.174760276;20.54972957;16.02798091;-0.351363056;18.35779753;14.56994644;-0.712126155;15.9902542;17.73429798
18;sf;862.7929742;348.4557377;18.99290068;-1.163734192;19.83330289;17.26686239;10.73134919;-0.0745974;18.64332151;18.23758403;-1.356143913;16.60342109;-16.8854685;1.927989205;16.49284614;18.38905427
19;sf;616.458649;572.6133207;18.91326571;-2.808255746;19.03781711;17.60661453;11.14785899;1.319877535;19.03817878;17.64440144;1.82523243;16.20209939;16.75144448;-4.959229997;16.6014655;18.47187054
20;sf;1016.132804;344.0403996;19.61024696;0.674284573;20.86388386;17.41294383;12.4700778;-0.36261485;20.02748751;18.2476799;2.93564075;16.2916121;17.9006263;-0.091712307;17.27247442;19.05923354
21;sf;1044.641741;730.4067797;18.64721002;0.868783901;17.65607443;18.10343075;10.16390521;0.814373984;19.33630714;16.29839335;10.92363949;14.78563716;17.32815872;3.478553762;15.86628031;18.08630714
22;sf;184.8080027;624.7411987;18.10650712;1.889201436;19.55956788;16.11387989;10.28840745;1.063946739;18.0344981;17.09370556;-0.320517821;15.93123273;15.34516466;3.599009837;15.59369715;17.46256828
23;sf;1120.342645;618.1191604;19.00008972;1.770097683;21.97009776;15.93136954;11.27063239;1.213697885;20.4722718;16.63705316;1.386925329;15.10699724;17.88855646;-6.749562408;16.03928025;17.85162844
24;sf;781.1979081;776.4127443;20.28746595;1.934909339;22.44332878;17.68448135;11.74354204;1.262842537;20.2447884;18.84208783;2.042739652;18.25650632;17.09220361;4.379882233;-17.40178826;19.54627274
25;sf;95.95256288;827.0235594;18.87311637;-2.22029149;20.18735655;16.42555241;10.49828291;-0.64152294;19.14105371;17.36128187;-1.789567052;15.66859236;-15.96896947;-1.345009397;15.91197758;18.15608658
26;sf;118.6866461;699.1865726;19.86786616;-0.933857145;18.9391951;18.99578644;11.13480971;-0.752725606;20.2601031;17.8952789;-1.549418188;16.418846;-18.47293045;-6.171730962;16.74432993;19.31565865
27;sf;1040.73626;536.3182098;21.81807346;0.447776532;23.93130722;18.33640223;12.09082267;-0.088335601;22.20090139;19.49287843;-0.395984098;19.13886787;-17.15345352;0.394536828;18.7237338;20.49875387
28;sf;576.2904716;561.9627151;19.41742619;0.321145417;20.13882096;15.63271041;12.24117009;-0.176607688;19.63782646;16.81352772;-1.431602214;15.74556547;-16.4588402;-9.073010131;16.37193883;18.09936493
29;sf;795.2127276;143.0216333;18.06557727;0.579941468;19.24894753;15.7342473;9.843088187;0.826064902;17.32888636;16.98749476;1.116908303;15.16745651;14.15773869;3.980939079;14.77631027;17.21390103
30;sf;999.2027873;709.0608646;20.15141807;-0.989522781;22.66644536;16.53087438;12.35530508;1.059440161;21.49950137;17.37544297;2.691536599;18.49951375;16.00444211;-0.200741377;-16.87526413;19.1493516
31;sf;781.6231494;609.882608;19.97581319;-0.129369331;20.64044416;16.30659227;12.73643781;0.002321427;19.77101371;17.74580072;-0.916555183;18.04647527;-15.38660331;0.443394383;16.64586031;18.8947512
32;sf;76.65725289;704.7392669;19.91706648;-1.251522331;20.17633833;18.63189458;10.29952381;-0.842519743;20.94080446;17.71080244;-2.796110228;18.32530508;-16.04191787;1.516458025;-16.94417741;19.20581576
33;sf;384.9438249;623.7490018;20.44706282;-1.964748156;23.04481515;17.7206361;10.15893066;-1.355798851;20.61840431;18.69405595;-6.501715236;17.23122215;-17.49807454;8.701344421;17.27857235;19.36325618
34;sf;1046.846166;190.4012602;19.62580528;-0.848813095;18.04904618;17.83811188;11.35952413;-0.649192162;19.52726632;17.56622839;-0.283936962;17.04411169;-15.61894859;-7.686208161;16.15627335;18.56407421
35;sf;951.4275839;730.4812005;18.38888478;0.075783201;19.19219223;16.163966;10.7380392;0.489997494;19.10382583;16.56036956;1.7559815;14.62482603;16.91324076;-11.25043708;-15.96750182;17.71287345
36;sf;677.7244938;774.8173879;21.25517022;1.63599139;23.63830141;17.20354871;12.94735311;1.586018639;22.14825138;18.08175869;1.988059538;19.75241337;16.59535243;-16.32379546;-17.20002674;19.87274117
37;sf;1013.857118;163.416452;18.73077332;0.29543112;18.95293165;15.81762522;10.81627301;-0.57528451;18.40823053;16.87848698;-0.065155648;15.93283459;-15.45014259;0.950730652;15.7445345;17.42674905
38;sf;311.8240985;395.2524186;8.093269204;1.385677027;8.677889718;7.053296187;4.576009512;1.680902887;8.039369946;7.44272286;0.947673661;-6.941289506;6.729476635;-5.191266178;-6.841426351;7.78354824
39;sf;880.5264835;585.8213195;20.50931847;0.538200176;20.55980765;19.37929986;12.13849827;1.049147945;20.77519372;19.20686742;2.945024633;18.80283355;17.19042968;1.367283193;17.80946111;20.07130986
40;sf;540.9258752;606.900761;19.54610203;2.009188915;20.54642203;16.52280693;12.30774857;1.174918473;19.60045838;17.91260172;8.439884775;16.90030956;16.49043771;3.342706061;16.78849886;18.49102198
41;sf;822.4747093;361.8380272;20.12160568;-1.105162753;21.64731299;17.06220719;13.03527032;0.806005688;20.76964332;18.19544632;3.221413636;18.60529239;16.77850734;-2.816606772;-17.11189018;19.47752586
