¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;hex;612.2686874;182.0280866;22.6617807;1.964583348;30.88674516;6.794281526;22.15381464;1.162020929;30.08873376;7.327038719;-4.048655622;27.29121153;6.902271628;8.078381106;9.312225339;10.05748372
1;res;626.5917996;787.0649372;14.91908419;1.827720135;19.13940003;5.345903312;13.65832544;1.248891311;19.27764348;5.26649661;-1.6526713;16.3824377;-5.352763744;-9.083300442;6.938501132;7.040637659
2;res;211.8270175;83.07588873;24.08834583;-1.936340751;27.19106743;6.610788845;24.14631007;-1.202793318;30.62857743;6.915340916;-2.182239022;26.34561333;-6.606850583;-1.731081666;8.991858045;9.128577904
3;res;607.3814571;763.5725538;20.64455078;-1.975688107;25.90609632;7.506379608;14.25680805;-1.164076895;27.46828856;7.731954384;-1.687313513;-7.458984919;24.46660771;-17.88784382;10.29642013;10.42367544
4;res;888.1818451;24.77062438;21.75996769;1.627203442;24.31974838;6.030648488;19.88325958;1.522629685;26.60065316;6.165450515;-1.763838389;23.48975007;-6.010124978;-5.738215141;7.464596167;8.465236538
5;hex;153.158232;232.713501;19.8789665;-2.016396321;26.18625749;7.792909378;17.87973561;-1.129982133;25.69816709;8.120251716;-2.358435069;21.71112526;-7.792789552;-11.88973394;9.673792728;10.58415996
6;res;240.6657612;325.0817641;20.18339889;-0.716647695;25.08953504;6.850730392;17.55999084;0.68877087;24.13317613;7.133668127;-0.420018484;21.97900433;6.69723135;4.045895169;9.617684512;9.686075937
7;hex;196.2352614;37.89449772;20.09576602;-1.670536037;23.98149678;7.914071758;16.66790726;-1.475580859;23.99080691;8.240530154;-7.590153116;7.887666758;-20.86794706;4.359761187;10.75036227;11.09668943
8;hex;177.0172665;686.5212926;21.37019851;-1.512177966;26.49254724;8.820065818;17.2653658;-1.633465811;25.52822375;9.219697949;8.293054068;21.93637054;8.80255132;6.956383722;10.08315511;12.38536646
9;res;77.35802087;210.1647561;17.19960065;1.874593483;23.27671996;8.757546998;13.745723;1.291077066;22.0573795;9.04174445;2.276822614;19.77725615;8.640865352;-0.160285337;-10.60617655;11.93973256
10;res;510.8700615;258.7974832;18.88938385;1.870784016;21.35955464;6.774738917;19.73524232;1.251372735;22.14716496;7.19617983;2.189206368;20.49388247;6.778758384;8.702256214;8.237236327;9.475045069
11;res;68.64185466;136.5841768;25.34806417;1.671178136;31.20842585;7.218190024;26.33843522;1.480146077;33.16062849;7.236176028;-48.35061531;7.241400202;-29.40767821;7.150103422;-7.723704085;9.781961961
12;hex;958.1114706;31.41159724;18.7494412;-1.953661026;23.5228257;7.61712716;17.81670309;-1.227139189;24.06562125;8.428633805;-7.902720547;21.42133544;7.512882843;-8.422142004;10.62092513;11.17013938
13;hex;221.1581971;505.1212102;23.88580693;-1.908905657;28.7197543;6.798595127;22.61694337;-1.213726842;28.49085282;7.167768262;-5.309310331;6.79553906;25.51974554;-0.801426703;-8.952602008;9.79640843
14;res;391.3098977;453.5745642;19.91957877;-2.043516683;25.4353363;7.181336609;17.90527775;-1.068728689;25.3605;7.389073075;-1.741675258;22.93340815;7.098162204;-2.569711397;-8.733499568;9.883945284
15;hex;300.7208253;193.6868697;19.90189574;1.725793045;25.47833697;9.244266048;18.03418844;1.419700085;24.78066951;9.775734613;2.110594976;22.45506664;9.210927923;-24.65188502;-12.52032421;13.28066959
16;hex;153.1807744;706.6388096;20.43000654;-0.715789398;25.95207398;9.485352554;16.63776735;0.628902975;24.40523313;10.36689292;-0.325511151;22.00924336;9.332532529;-2.117892544;-13.27085516;13.6567933
17;hex;865.7981902;367.054382;20.28959771;-1.976734352;25.42310919;8.367320451;17.67260546;-1.178931005;24.7100128;8.552910311;-1.586198247;22.27557506;8.225138497;7.41950604;-11.08948424;11.09543016
18;res;894.8958954;728.6643056;20.56140545;-2.315482501;23.56151122;7.329607883;18.09243077;-0.849456548;23.81474171;7.561961247;-2.607064064;21.35787748;-7.191936623;-36.05124921;-7.820982577;9.891665201
19;res;155.1774578;60.1353539;21.38713997;-1.868215411;28.62865824;6.804375406;16.61316583;-1.289014126;26.92804838;7.019386374;-5.277008215;24.96236628;-6.717194254;-1.129483325;-7.371641467;9.642079814
20;hex;571.13208;48.53552909;10.88916673;0.67474092;13.61899727;7.072029755;8.011978937;-0.667466487;12.64900623;7.56479705;-0.533711694;39.06489823;-3.633540486;-10.89197901;-8.049266138;9.802415288
21;hex;612.2872935;392.9995219;22.72971091;-1.874735228;30.48609186;8.855784518;22.91159511;-1.283707008;30.06386817;9.239424688;0.948196575;27.75093207;-8.697892198;-5.896000857;9.720887731;11.9722464
22;hex;175.5319281;746.5229414;21.27558184;-2.120340367;23.23277463;7.409016017;19.50438435;-1.016881987;24.47713934;7.68976527;0.688833832;-21.45958103;7.40878444;-3.43010627;9.790969081;10.35213974
23;hex;725.802696;85.41006031;14.58789586;2.319552654;18.71708949;6.09233127;10.23148894;0.828281313;17.14847041;6.29907227;1.934369601;15.5685101;-5.994571854;-2.425041051;8.297064196;8.316766609
24;hex;324.4686328;318.1004908;20.39290129;0.157502768;23.63176759;8.747658048;17.74114805;-0.101211326;24.01951545;9.171138613;-0.248621713;21.42684652;-8.58464195;-9.558462639;12.13653005;12.265571
25;hex;370.0020877;797.157736;20.50859933;0.014594089;23.67300161;8.790475885;17.52789944;-0.07404354;23.80791387;9.10367794;0.437761945;21.01534857;8.660839394;9.15159598;11.77073736;12.71019937
26;hex;464.804791;285.1797486;21.54177845;-0.312901217;27.85212443;10.37469796;19.96100244;0.313848108;27.82056712;10.99662828;0.08974488;24.35856392;10.37469786;20.42035219;-14.67705262;15.28352977
27;hex;543.8848055;346.3657855;18.62943504;0.071543907;23.08120012;9.894825276;16.6807188;0.025146004;22.23086188;10.16471986;-0.367599518;20.66612932;-9.704060244;-0.621124454;-11.73847203;15.64226142
28;hex;460.1737892;399.3829874;20.59878213;-0.421485563;24.16127748;9.65642176;17.07056982;0.374289568;23.7300915;10.21813946;0.039147524;20.71266474;9.553582098;21.99114851;-12.80220206;14.07219677
29;hex;921.0685705;483.8108647;20.70093157;0.078749761;24.31986137;8.718099186;17.53892737;-0.07379372;23.96502131;9.182885029;0.462754455;21.84838209;8.5267157;-1.186111519;12.26707356;12.63168814
30;hex;205.7826375;553.5665926;21.14152179;0.103926553;24.87017518;8.294025824;13.53817774;-0.093526203;22.95270311;8.953799618;-0.282790844;20.84757768;-8.121173639;3.00196634;-11.18296553;12.1041315
31;hex;475.2035858;359.2399151;17.71395265;-0.15567812;23.98060386;9.175946251;15.00039426;0.168687435;22.29930345;9.626378941;0.285581247;19.46315175;9.078541219;20.08614027;-12.70756352;13.00451148
32;hex;1119.998018;244.540146;17.56575022;0.755418249;21.95178795;9.47909415;13.53906145;-0.755615803;20.59937468;10.2693325;0.271722622;18.04451472;-9.479094137;-10.80323186;-11.31439582;13.53876889
33;hex;734.0094061;106.1218369;15.11066557;0.368472472;19.4003813;7.656395005;8.139759924;-0.405029523;17.21721375;7.990295086;0.033768429;-7.135495871;-15.32581954;0.067216754;9.426006672;10.18788926
34;hex;685.7459695;540.0507625;20.90304624;0.315611703;25.36451122;9.115755489;16.43036514;-0.31847869;24.47323693;9.258669833;0.015594291;22.23182966;-8.609715719;6.283185308;11.96176603;12.85250764
35;hex;832.9326549;781.5281354;21.08654381;-0.558094708;25.9781582;9.864401671;15.5765611;0.565598408;24.15107323;10.26681249;-0.145144314;22.43259154;9.710537972;5.88213092;13.34126207;13.67985064
36;hex;945.4979129;86.76545418;20.88449889;2.289647904;25.97136358;9.702060141;17.80325365;0.865767779;26.04472585;10.22015097;-4.391131288;22.61299747;-9.667943982;2.243994738;13.20121274;12.98222571
37;hex;671.8691424;485.4650752;20.60159555;-0.673639704;23.64237788;9.107017866;18.55468246;0.637871316;24.14772254;9.55303394;-0.212108452;21.20868312;8.970826867;2.115766476;12.05293042;13.04670756
38;hex;737.954069;472.2403278;20.43944815;-0.608465762;23.4724848;10.55038559;17.03530221;0.570906123;23.79581447;11.13780386;-0.121398821;19.88059711;10.51256823;-0.267369574;14.0363;15.05897237
39;hex;1090.671323;204.6491271;11.52667121;2.102564251;12.94628801;8.972932865;7.962048473;1.094903178;12.27778402;9.64333629;1.587698261;11.08034099;-8.683738452;0.332863807;9.757030235;11.09635584
40;hex;229.2142117;669.2648245;19.7678252;-0.159563245;23.5941458;9.800607173;18.13341219;0.177936276;24.09859239;10.21670562;0.264996017;21.6472248;9.793910739;1.570796315;13.97864932;13.88806612
41;res;427.5797376;301.2701855;23.05202913;-0.26747275;27.44819762;8.694309764;21.52613529;0.258284316;29.06863968;9.028802684;0.075858865;24.75694576;8.608140225;-0.70525549;-11.23043068;12.5518566
42;hex;251.2189602;517.668939;20.89454457;2.177036694;24.58084841;9.68636168;17.39314163;0.962568665;24.59416096;10.10436104;-0.540382887;21.39903618;9.617250079;-0.088839186;-10.4659474;13.10546522
43;hex;567.6467123;82.51786393;23.39281108;-0.682681061;28.04796495;9.029119032;19.33751784;0.677908436;27.42662494;9.570066372;-0.32723437;24.74550004;8.958856004;3.141592632;10.09702256;13.04567249
44;hex;1027.812055;275.6997882;21.25772414;-0.464347576;25.2793182;10.02999408;17.35167637;0.44222582;25.65210906;10.57671194;-0.042494475;22.37531595;10.02316502;-3.462163318;14.16605918;14.62579319
45;hex;679.9325069;609.2447199;20.26556527;2.237572662;26.04805392;8.099970608;12.56817375;0.866009037;22.68438865;8.409546786;1.929041788;21.11705013;-7.787468998;2.603391103;10.48948273;11.24189624
46;hex;847.5286908;181.1701021;19.20473606;-0.540196133;25.55722713;10.40739656;17.24943991;0.519770253;25.2645951;11.13155603;-0.110448502;22.53578562;10.37122151;-0.320570672;14.23314526;14.67508492
47;hex;710.5815338;392.0764553;18.5323614;2.001913446;22.51869061;11.47656964;15.7194188;1.153296715;22.33083732;12.12106248;2.55203242;19.82004056;11.20913083;-4.882074965;-13.10179191;16.01795107
48;res;658.406806;789.7334278;18.56690694;0.167587074;24.72693229;5.905570581;14.32171321;-0.18038582;22.94220081;6.188572658;-0.164278631;20.00404881;-5.810046761;-10.99557426;-8.271144972;8.362622248
49;hex;628.6988062;336.1753903;13.03309024;2.039649823;15.70103258;7.012835329;9.931092345;1.087059801;15.61916069;7.303804096;-0.616289209;13.14373143;6.976591143;5.582392495;-8.81373764;9.386309626
50;hex;503.5347421;85.93074934;22.40044597;2.067474866;27.51167096;9.444641814;17.00891515;1.017846937;26.36982667;9.861502251;-0.717701625;23.32476874;9.298909195;2.289925007;13.00376039;13.02474276
51;hex;166.3517538;376.7492289;19.91917938;1.702101028;25.4139341;8.251070352;14.58977251;1.411406154;23.54298124;8.793836197;2.046854113;21.03399255;8.116645946;-8.990302366;10.67815647;11.20964817
52;hex;792.7773389;158.3217237;22.01135058;0.320230403;27.39558083;6.900674406;16.95628506;-0.324704671;26.58897776;7.068733676;0.174222357;39.37050581;-6.264963725;2.920175288;8.33008105;9.789551266
53;hex;50.19158125;39.81524907;20.57854613;-2.286853632;27.40268678;9.573618313;15.46305142;-0.809775232;25.89978933;10.11074955;0.462950645;22.62628366;-9.34085277;-0.969214753;-12.31058841;13.12706235
54;res;38.65370388;211.6263761;20.83884989;0.182823822;26.30304458;6.787226679;22.93705346;-0.188112692;28.8939338;7.261145429;0.078702599;25.58924639;-6.337857759;-9.424777938;-9.791042543;10.32181226
55;hex;342.5472305;166.4642169;19.80293767;2.088346125;25.31647829;8.129672387;15.03360344;1.026766432;23.90654623;8.773219612;1.720630639;21.38768557;-7.99173259;10.11885077;10.55727424;11.36052331
56;hex;309.5527697;501.59764;22.63709698;1.831398706;29.3533968;9.497988349;17.63117244;1.321733771;27.45121466;9.956976235;7.739813;24.12373665;-9.496760643;8.527180067;-12.06583888;13.53284757
