¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;res;557.8112384;217.0430987;14.94360504;2.129072319;19.21266761;4.256881794;16.25448152;1.04231304;19.78637437;4.734447603;5.034511564;17.85374106;-4.242963851;-2.532508344;6.378595004;6.213733486
1;res;344.8575219;611.1672956;15.4641241;-2.190306324;16.85339344;4.185008991;14.59808751;2.187298639;18.05355156;4.261783186;1.21045608;15.91262835;4.18910729;8.650950791;-5.715135074;5.785835019
2;res;535.9212963;564.9814815;18.83687845;-1.972744631;24.17467613;5.027198748;5.965283495;-1.155484705;21.73781052;4.810532808;-1.75630194;19.09633512;4.50916417;-4.065306166;5.861952984;6.515532868
3;res;466.0980543;513.7928214;17.94889031;1.985889437;21.60920907;5.126867827;15.74296554;1.159657467;22.09158785;5.214168331;4.855487259;19.56743915;-5.119280887;-7.085294051;6.656102859;7.193926524
4;res;373.4593899;185.9257626;17.24687082;1.910690879;22.07899143;5.107933672;20.97598762;1.246052193;24.72602522;5.140102166;1.678221553;21.57526027;-5.107933978;-5.609986859;-6.656612237;7.02726498
5;res;171.1360656;404.5742796;17.17057253;-1.822651037;26.13315679;6.443860455;14.27890831;-1.310482833;23.77426402;6.676045623;1.022670768;-20.64928906;6.408252819;-0.673198423;8.26790189;8.927994317
6;res;1004.058058;414.5515516;19.80309311;-2.231210428;22.50471964;5.910593622;20.24582021;-0.888778697;24.46573976;6.201407163;10.06938259;21.45017246;-5.917067713;14.58596582;-7.657145152;8.342628826
7;res;941.6847492;389.291027;21.19545522;-2.272495229;26.83766091;5.402911744;12.45730082;-0.858050473;23.60573982;5.551875996;-2.067819047;22.05741358;5.195192283;5.3953439;-7.298004375;7.43849136
8;res;314.6093167;410.5301688;18.12583089;1.844710676;24.05412849;5.977628502;14.4451818;1.290883685;22.8441375;6.383570186;1.559677961;20.35545315;-5.924925096;11.22952268;8.327003023;8.407367796
9;res;386.7887102;644.7451908;19.74548168;-2.14842772;22.09330671;6.544463575;18.69053645;-0.997806098;23.14182632;6.806551605;-8.746086961;20.11770174;-6.547784986;-3.750676937;-9.507132463;9.141826451
10;res;951.21399;535.4966375;17.65500454;2.454744251;20.91913045;4.455998341;17.67591599;0.710295805;22.2355868;4.589220122;8.536161732;19.96716354;-4.392808362;6.287333287;4.92063779;6.157025445
11;res;1111.643791;159.2098557;16.29056248;-1.711509845;20.37265587;4.677584447;13.12103615;-1.455500192;20.15651098;4.730248646;-1.466076575;18.00651716;4.587992616;2.687807041;-5.97282949;6.405803045
12;hex;265.0318081;169.9727572;15.89091617;-1.765099195;20.13574846;6.3485022;15.64465751;-1.393614938;20.33767713;6.79450799;-2.095846492;18.69249453;-6.249345047;-0.673198424;8.259568009;9.24080226
13;hex;309.7941504;30.1248767;17.64963133;-2.122934357;25.75728822;7.426410465;14.51368725;-1.015811631;24.00098735;7.686108365;3.831581585;20.98159214;-7.360690079;-2.308108883;10.12053378;10.08987648
14;hex;237.6915921;169.9472083;18.41145297;2.080803009;21.98324409;7.331800312;16.48788947;1.068270507;22.18500137;7.680779442;1.70281871;19.44293998;-7.305836225;1.912273781;9.956513794;10.2518917
15;res;983.0109066;456.0457518;16.23201364;2.113253679;21.87332298;6.23182224;14.86212459;1.047071509;21.10516412;6.517468755;-0.71015321;-6.130434981;18.8452016;-10.69478345;8.293999189;8.803209298
16;res;983.7643653;543.5752311;18.52493601;1.807758044;24.20598311;4.644342877;16.32632653;1.331496217;23.53526416;4.977469604;-1.144951103;21.04223337;4.550415502;-4.144228575;6.201193795;6.520978212
17;res;86.34556767;178.3974277;17.72033933;2.294429818;22.08471466;4.792255312;18.71886263;0.842972354;22.62820073;4.972215717;2.533845782;19.88620549;4.735615464;3.878905188;6.675363665;6.938466988
18;res;241.3146829;447.910139;19.6461007;-1.59375633;24.13008703;5.797719853;18.57144548;-1.574967563;24.20033039;5.869857225;-8.107889961;21.744346;-5.64627074;1.025826182;-6.468091978;7.7394196
19;hex;512.1845191;745.411708;15.22111078;2.070267091;20.47844415;5.398886742;13.98225354;1.05626203;19.83254374;5.618180887;1.769315192;17.6328062;-5.334679828;-6.860212481;6.734539614;7.565877155
20;hex;110.3683323;191.4845898;17.56744606;-1.737635147;22.10982413;7.271275439;17.47081481;-1.385442538;22.06269514;7.815722485;-2.065527736;20.44407787;-7.203269039;-2.127931928;-9.292679367;10.07107374
21;hex;261.7547888;41.59390046;15.49314915;1.828518003;21.791252;6.849317615;10.38407903;1.330883589;19.9403787;7.153777861;-1.697694566;-17.63848911;6.58341371;-10.79068774;-8.936326895;9.101362405
22;hex;1007.060298;834.2748744;15.2844977;2.231565725;19.42475791;6.379225481;13.47575494;0.900623254;19.71864154;6.574042173;-0.523962476;16.86493608;6.326666769;0.701845175;8.783349349;9.038953915
23;res;662.0721712;502.189769;16.4854304;1.56047479;19.33114929;6.961610261;13.69639619;1.572142118;19.1335606;7.110646951;1.913483136;16.88184958;6.860430718;-0.098885898;-9.404193899;10.23789259
24;hex;917.563298;734.3113007;17.37336653;2.358992393;25.66585883;7.28327106;11.31046182;0.768726953;23.17226778;7.492580008;-0.445469462;20.79365483;7.01260803;2.406326273;-9.931935536;10.22069859
25;hex;951.3745071;663.7807515;17.87356063;2.040242802;23.78051504;7.848394061;12.69004874;1.063138062;21.9374738;7.964949184;2.394873549;19.25108829;7.602923194;12.68794714;-9.568766707;10.42465324
26;hex;242.3823427;50.60375391;18.83385546;1.628247365;23.29046762;6.184568621;16.54938708;1.526742094;22.20991748;6.370242089;1.891669313;20.06068631;6.018487658;-11.81160065;-6.658015417;8.498112108
27;hex;159.6320193;492.9483715;17.77992459;1.814245569;23.60519924;8.590331748;14.16351944;1.334507599;22.39706837;9.075896462;5.307877707;20.14400014;8.413085706;-22.40789046;-9.616253849;11.80659203
28;hex;147.118738;223.9821609;16.82838971;2.055968389;20.95475389;5.885517915;16.8633502;1.074579928;21.46250531;6.380211954;2.332034075;19.35312817;5.801585717;2.324618851;8.162908007;8.656675984
29;res;868.4057862;363.7211387;16.19459365;0.622845947;19.33704488;6.586249496;16.26929601;-0.626249285;20.05031174;7.009135623;0.278662409;17.67673608;-6.477197201;-17.08641714;-8.427951682;9.457719046
30;hex;217.3553974;132.022968;17.98083301;1.59119945;18.60525179;7.143741336;11.37187181;1.558548189;18.26198566;7.210002792;1.153174107;15.97733741;-7.104142763;10.0112936;8.041879558;10.3843189
31;hex;157.8513023;765.5201892;18.62472467;0.080046636;23.89851094;8.167555381;13.59429724;-0.143545913;21.89126997;8.395854571;0.436123739;19.88271545;7.984868976;-7.96E-10;-11.29376771;12.30421734
32;hex;121.3710288;819.1492818;16.07201832;0.399365995;21.33252037;8.548139589;12.21428771;-0.396329278;19.86647734;8.907109447;0.04587187;17.95303182;-8.467598268;-6.944816537;10.13700744;11.56893453
33;hex;358.8914213;88.78885723;16.64186467;-0.080912896;20.93790898;7.389103861;11.88671898;0.311695617;17.95577188;7.537286232;-0.455814936;18.14837335;-7.008639209;-1.07475538;-8.97952982;11.36047695
34;hex;706.9951187;742.0443091;17.78273678;-0.489148452;23.7775833;-8.163383497;8.499385344;0.479253488;20.59282094;8.73661846;-0.088742382;18.79230789;7.425357292;3.623743952;9.620167362;11.17102405
35;hex;638.2268104;530.5892463;19.03563234;0.070153117;21.47712727;7.366153252;17.07369261;-0.214015047;20.6879513;7.319615851;0.415241954;20.07778381;7.205783893;6.432784931;-10.00823995;11.72601296
36;hex;703.4355475;258.5141037;16.61522988;0.168930539;21.83784053;7.765260301;14.36830928;-0.167881873;20.74376942;8.291473548;-0.175418348;18.80846309;-7.644240488;-12.11757167;10.58592947;10.95001961
37;hex;796.3699665;726.6902225;15.94407997;0.607533555;21.73021871;7.750094921;10.58343954;-0.61133652;19.53613124;8.11089329;0.208024375;16.91631893;-7.49860932;0.961712037;10.08518587;10.9793132
38;hex;322.8406935;137.1907098;15.92826349;-0.459100034;20.51353723;7.417052189;13.74198851;0.465237654;19.91843091;7.853851598;-0.101632792;17.6464919;7.308138525;-7.987666372;9.956891185;10.44474673
39;hex;663.9436697;574.5209188;18.33697736;-0.342283694;22.64630533;7.656111573;12.97196837;0.34280034;21.42058034;8.138451867;0.042917594;18.90507212;7.43079289;2.820327099;10.68016287;10.97922228
40;hex;1000.272652;718.3130065;19.01331107;-0.543470145;23.4912579;8.687560369;16.68938462;0.526643257;23.17108449;9.4902162;-0.149404269;20.74845179;8.680753711;15.51562083;-11.85375492;12.57849202
41;hex;515.2724834;269.6145618;14.70662396;0.17333652;18.77288981;7.019060133;14.92244569;-0.160381201;19.47364758;7.499536387;-0.158796121;17.7672268;-6.976378425;17.53521608;10.26406386;10.61700437
42;hex;549.5942588;267.138389;13.18250145;2.188942654;16.28384916;7.239255944;10.55687603;0.902482762;15.62183613;7.744957086;2.647293451;14.0463937;7.209638625;-8.431008795;9.344037787;9.947232973
43;hex;345.297327;645.3126409;17.27966327;-0.419046253;20.97822132;8.843585901;12.98818128;0.426579413;20.43440399;9.375068307;2.264901853;-17.39401985;8.672978192;1.561314707;-10.71657998;11.9631725
44;hex;1097.25159;453.1542159;17.83173024;-0.133140036;18.78544734;8.08338976;15.84795048;0.103710282;20.9944549;8.497077049;0.259365892;17.93169357;7.987075334;0.934916112;-10.08671037;11.52313243
45;hex;1017.098152;481.5354933;14.8518061;-0.42285392;16.75536574;9.943016491;11.51955635;0.454470564;16.17439927;10.96313255;9.594530997;14.76675447;9.94301641;-7.283781381;11.41792437;13.67439922
46;hex;121.473605;122.1018909;14.65248234;-0.84894514;15.58294278;13.65392582;7.813674277;-0.06685935;14.76121047;13.49625478;-1.066064843;13.49027174;-12.03546602;-18.6052343;-12.81536967;13.91121047
47;hex;496.7214707;505.9871661;16.3210785;0.210342815;20.727401;6.694579938;11.29018333;-0.217854591;19.27400145;7.190138986;-0.218301025;16.93137416;-6.367449717;-2.06E-09;-9.264286266;9.65141743
48;hex;173.6566203;527.0569294;17.71977607;-2.177036332;22.87469511;8.887656011;12.27887364;-0.945597703;21.59468799;9.172076504;0.520678424;19.22667856;-8.692256477;2.274239713;-11.42400834;12.13601038
49;hex;560.4991649;519.1219279;18.87789822;-0.095999033;21.88860363;8.589398219;17.19714847;0.065045553;21.65264189;9.250945846;0.312859902;20.27880563;8.550881843;1.297614362;11.95439929;12.46800369
50;hex;393.6349765;312.6967684;19.37017961;0.697634829;24.45002525;8.373734697;17.67383777;-0.697263683;23.96937491;8.653991627;0.310802695;21.77174734;-8.224869705;5.648182481;-10.83450486;11.66267149
51;hex;528.69709;133.5896207;17.61263405;0.081138299;19.97955998;9.2282716;14.94406073;-0.104912224;19.81480142;9.820062193;-0.370654363;18.06048633;-9.095047808;-3.00790786;13.09386167;13.73293031
52;hex;801.7076787;85.24857768;16.41326417;-0.107350642;20.08131011;7.688490323;14.20356807;0.306253202;18.99775293;7.781968696;0.243881492;17.81290773;7.508718493;1.264299484;9.998904529;11.8401772
53;hex;137.4338998;565.6617666;19.98453476;-0.725699872;22.5703769;8.246329845;15.62429816;0.733749479;22.19186444;8.3810592;-0.364468499;19.65249321;8.160027155;-6.951609268;11.11321051;11.3217343
54;hex;343.4589466;311.4728221;16.7417086;5.357724878;21.94892059;8.243102833;11.86529708;0.935084885;20.36800601;8.398126556;8.842482282;18.2755802;7.948154906;1.912273791;10.20297178;10.69906211
55;hex;983.4237794;483.9884891;19.57890182;-0.584115916;24.83741456;7.732844924;15.05869851;0.562393542;23.3045649;8.289881542;-0.941863283;20.86570867;-7.683372212;-5.919310113;9.117189994;11.14134105
56;hex;74.64726034;132.7895303;14.33754005;-0.627143021;18.35863063;7.400262779;10.9332489;0.703180712;17.53104932;7.716401517;-0.159005139;-7.230522461;14.90689896;-4.555220411;-8.091544087;9.745335198
57;hex;473.6560145;235.9490777;18.38097078;-0.039517785;20.64938221;8.568875513;15.70523365;0.087281596;21.37252143;9.22564043;0.373127263;19.17386264;8.527381184;-1.570796323;-12.66766518;12.68802255
58;hex;511.0893322;688.1581382;17.37257596;2.31289163;21.08660891;7.993188572;13.5978799;0.787188805;20.27977909;8.441387573;2.725738838;18.0986656;7.864178735;-19.85219178;-10.62488072;11.29154372
59;hex;569.5947242;253.4208633;18.07689194;2.321870931;20.80880879;7.72611017;14.67017719;0.820394221;20.41402976;8.078248886;-0.426564644;18.76516505;7.698891068;-12.2137428;-9.681084528;10.85847411
60;hex;976.029738;279.1158384;20.15406668;-0.59421528;25.52583437;7.38024924;18.2940482;0.592694405;25.38663455;7.699795621;-0.271245339;21.89367911;7.359340272;-4.904731373;9.629445908;10.38059042
61;hex;884.5409113;403.2368306;17.83104506;2.316028179;21.65300868;9.957030529;11.38001739;0.819340137;20.86337885;10.22815989;-3.487573901;17.42662404;9.662118054;-9.770693245;11.17657853;13.24784861
62;hex;1057.194807;550.2594994;20.22394414;5.410324253;24.80023631;8.524003672;15.99935064;0.864582928;24.06917603;8.946004885;2.59685293;21.64282924;8.188844679;-0.75538533;-11.50412868;11.50931194
63;hex;488.5579878;797.2480619;17.88120297;-0.287819669;24.00930671;7.889322332;14.5558115;0.275871887;22.41382695;8.250455373;0.061689227;19.44570066;7.705387279;-2.147823528;10.95114243;11.35132685
64;hex;176.0843297;744.938982;20.04105569;-0.363488108;25.58771223;8.574698057;17.18262831;0.375683126;24.68777357;9.040097554;-0.026227605;22.69046169;8.363575195;1.570796312;11.43561625;12.41605854
65;hex;318.9994142;630.0710214;14.43695806;0.766834443;17.20238152;8.166014964;10.83904221;-0.792014283;16.35238688;8.493959879;0.248046172;14.6697494;-7.998083738;-3.215572172;-8.914254064;11.18572011
66;hex;389.0633586;416.2461452;17.49671039;-2.310261797;21.82516252;8.228183487;12.27433191;-0.792886297;20.89313419;8.437858016;-2.688293394;17.86456979;-7.986758138;3.8100166;-10.74901253;11.00424517
67;hex;450.9665428;644.7832454;18.75268441;0.097730081;22.45920248;8.267478538;18.66875131;-0.126174768;24.4285642;8.832323565;-0.239403065;21.442708;-8.038660107;-3.141592641;12.29237453;12.41178436
68;hex;684.1463443;113.2167283;15.55286181;2.356357429;18.26427324;7.346840852;14.13904692;0.760591458;18.97339083;7.880973473;-0.369010327;16.90318531;7.347367489;12.98311241;-9.907067824;10.97339085
69;hex;492.88907;349.5349285;17.06128794;2.094506595;22.90679235;7.557798967;15.78223827;1.019309088;22.38868051;8.198063603;2.423555723;19.63396777;7.312537822;4.388856026;-8.618425378;10.735426
70;hex;403.8883312;653.841468;14.93558921;-0.011303098;19.05874915;8.388814355;10.97932697;-0.016580669;18.31082416;8.685046235;-0.492845499;17.02180355;-8.205822998;-10.99557428;-11.92479349;11.83219177
71;hex;1047.399021;204.1878914;16.51489447;1.780939995;21.64554404;7.831811821;11.21618338;1.33399257;20.18405442;8.121976944;2.179263636;17.61557027;7.530610982;3.850166278;-9.304963772;10.54913415
72;res;786.8932219;20.42735107;16.19818818;-0.298568591;20.1927326;5.664112898;18.40380648;0.408964853;21.91323256;5.76994269;-0.009928979;19.67203926;5.546869367;24.644049;-7.847729722;7.907969219
73;hex;521.4510864;366.5797461;16.05827779;1.646438196;19.67092497;8.379523036;14.70477298;1.520437968;19.53287652;8.975577858;2.117764318;17.3337202;8.271996742;0.738624685;-9.543459123;11.76534179
74;hex;667.0656263;422.0532213;14.62476067;-1.940941534;18.76150922;6.833646266;11.95801679;-1.176199743;18.19893162;7.147407939;-1.546572345;16.2087379;6.777735782;-2.651689219;-7.496047557;9.421655943
75;hex;515.0789062;561.2979167;19.14887572;0.62089544;23.93359934;7.927186227;16.48781364;-0.625799678;23.62867;8.385861968;0.232420724;20.41702466;-7.848934056;-4.007133478;11.40451794;11.78251626
76;hex;546.7504558;447.5305892;13.91430697;-1.940857973;17.10897348;8.573024837;10.49280502;-1.172230246;16.2459955;8.94550579;3.812807905;14.83881693;-8.292175669;-1.495453658;-10.16612424;11.27284123
77;hex;1036.391918;339.4143363;19.26066093;2.249894975;22.64771936;7.909764545;16.25060803;0.862129949;22.49927522;8.240259864;8.924704264;19.96130796;7.846128332;3.072993837;-8.54196854;11.12247536
78;hex;446.0590786;524.6379404;16.57439418;-2.132105763;20.56554264;9.28155987;12.66462657;-1.049398481;19.78568802;9.691513833;-8.931341361;16.9541698;-9.22005844;0.590099523;-11.03023356;12.29202097
79;hex;564.8798112;599.7581699;16.29365749;2.170846532;20.2188309;6.521656007;15.07591875;0.988094565;20.01814965;7.033925696;2.516038699;18.13638827;6.521655859;5.513815643;8.900341811;9.117050751
80;hex;122.7230911;20.50494287;19.7102569;-0.816474586;22.45507152;7.651703517;16.66180232;0.829440291;22.33366538;7.873245561;2.693492277;20.26624563;7.530446935;0.552980229;-10.27567001;10.55959302
81;hex;1032.599361;637.9757196;12.9256071;2.034093804;16.20059883;7.453559296;9.869809475;1.097252524;15.85775684;7.807161593;-0.588715934;13.72087221;7.230910103;0.352018308;-9.849318444;10.2097814
82;hex;678.8377358;381.6899371;16.44558288;2.252357442;21.03956878;7.077109262;13.64219806;0.887388849;20.92952911;7.413596929;1.879559472;17.84619807;-7.036541472;0.34147747;-9.227940949;10.1594257
83;hex;724.7922952;196.4351683;9.574834019;-2.001663918;11.67863474;5.94858733;8.604711155;-1.177454205;11.4428138;6.388256576;-2.465658863;10.55491536;-5.856273637;2.147341682;6.843732904;8.437150012
84;hex;538.5718345;35.03266806;17.94757816;-0.73919142;21.9830158;6.936305967;12.86048822;0.756198171;21.17050651;7.235559657;-19.30269016;19.38360472;6.688434333;-9.617120362;8.224153585;9.808487237
85;hex;86.06181174;553.1319846;19.56299794;2.102129426;22.20077517;8.745289937;17.03695455;1.031433555;23.31846326;9.133714777;1.675532955;19.70340079;-8.751695426;8.954726478;-10.2798545;12.20642553
86;hex;28.53767203;791.7880556;18.11202098;1.788549404;22.96351633;9.189357803;15.12898188;1.396397449;22.56581676;9.964112209;2.232087168;19.85249758;9.138815864;0.792748742;10.55251313;12.68702884
87;hex;1088.331766;353.5762669;19.59017726;2.288503307;25.52950428;7.484853395;18.90573897;0.854472529;25.79335698;7.774118985;2.611562075;22.37414057;7.476444538;4.007133463;-10.25826257;10.49421164
88;hex;66.15189978;189.1135949;16.33811463;-0.699687964;20.65665867;7.141008396;13.39117234;0.728485528;19.92003942;7.161035109;-1.112209578;6.980154773;17.63902519;-3.416288683;-8.567807069;9.680774987
89;hex;720.0785388;354.4414003;18.55470878;0.760433828;22.63398795;7.11229742;16.17666795;-0.75919894;22.32676847;7.625869848;3.713567789;38.62000612;-7.020964853;14.71419416;-10.02519385;10.31088604
90;hex;761.6454106;513.2227053;15.18513015;-3.844574636;17.53227169;5.53666096;11.39675388;0.690997811;17.49832817;5.759010245;2.794738211;15.19880373;5.452361717;8.555826813;7.599505597;7.867646482
91;hex;1019.862948;815.8998672;17.74069791;2.348870206;22.33747135;8.439561393;15.58525434;0.817766595;22.20376606;8.705282651;-0.391918994;19.64226036;8.401387988;1.442568044;9.395915646;11.97649268
92;hex;288.8223028;181.3578142;16.44429958;2.36829964;21.86018426;7.472242419;13.18101084;0.759627827;21.22829711;7.687086865;-0.379595648;17.99459317;7.386016215;0.167105985;8.568430516;10.3245935
93;hex;873.3067526;833.9809713;18.44453864;1.998540821;22.17574527;8.682781709;15.77943315;1.153571151;21.81440085;9.126908263;2.420105541;19.76258192;8.575804285;0.882101466;10.65513271;11.82641021
94;hex;100.8313284;82.62597125;15.03440678;-1.964561555;19.04873745;7.884258911;15.04679073;-1.199308319;20.24156213;8.307099311;0.751248641;17.50869259;-7.857319444;-0.609084288;11.06076006;11.24156218
95;hex;783.4018782;102.5625889;15.55257926;2.068234918;18.82404892;8.334265759;12.68062536;1.059159535;18.31589699;8.660883522;-16.33076554;16.05833332;8.250558423;-8.751579491;11.09418484;11.38923036
96;hex;557.0872647;736.1171973;14.51312242;-0.432775908;19.43023439;6.286340588;13.28897079;0.412884014;18.9203232;6.730631326;-0.081510856;16.82513009;6.229957841;-0.069813166;8.345690155;8.886488495
97;hex;32.35107727;237.8556267;20.51697932;2.070351719;24.91519377;7.426825564;20.61160582;1.033009915;25.32777951;8.244279747;-7.039539293;22.79987682;7.426801618;-0.756287985;10.4006879;10.82977293
98;hex;152.4835129;184.1194907;16.01894706;1.840885601;19.56113422;7.480396436;14.5560003;1.292893661;19.44376538;8.003357903;-0.928737938;17.82169619;7.279681975;0.737312558;9.37720044;10.39376522
99;hex;637.5107527;223.5180841;11.27399087;1.412306493;13.87574402;8.539035285;6.199235348;1.746188121;12.26988817;8.73491997;1.212332749;8.307331923;10.35382521;7.791086152;9.437966365;9.852193909
100;hex;130.5051741;797.2751065;16.49669593;-0.049309536;21.66606293;7.763303121;14.14217992;0.049571055;21.19042296;8.378013976;0.348031614;18.68262754;7.680051598;-6.283185287;-11.64091694;11.6286616
101;hex;943.833815;724.4117913;17.57465063;2.241699368;21.46147313;7.224495711;16.43381899;0.893027868;22.24402803;7.733378112;-0.551065817;19.56364073;7.180260165;-5.16118792;-9.447549598;10.38106474
102;res;693.0472552;482.748677;16.84456415;-0.072728911;20.30334115;3.982184438;17.36234109;0.116790424;20.82527919;4.391156727;0.118912359;19.24160364;4.055094694;3.141592633;5.839201756;5.922889601
103;hex;1097.709382;422.5537267;16.21531253;-0.733683609;23.62680039;7.134215894;12.1551973;0.725141993;21.0252863;7.808817922;2.707354242;18.84633111;6.904227712;-1.154054443;9.262762454;9.775285856
104;hex;88.28534923;480.7475866;15.99712067;1.873017035;21.98759816;7.390651716;15.913092;1.280501937;22.11033978;7.82929288;-0.931294406;-19.83112598;-7.252292441;-0.727531821;9.135750266;10.60912449
105;hex;425.8395415;77.68815664;18.06557835;0.541822933;23.48183608;8.785934548;12.25978163;-0.521543256;21.09614537;9.349185659;0.182150479;20.51515438;-8.151005925;-1.34661821;-11.41210238;11.99539371
106;hex;46.03810621;439.6873029;17.06273994;0.521027341;22.07864222;7.786355376;13.0580692;-0.537395771;21.09930957;8.223042728;3.30915719;19.28740035;-7.508662224;-4.302616029;10.97489599;10.9637201
107;hex;527.8290686;16.12726032;16.34184801;0.46379791;21.16081222;6.570972914;12.84400628;-0.471347084;20.95298701;6.870581547;0.127043943;18.75218834;-6.429699409;-9.224250775;9.266390093;9.487141649
108;hex;328.0926896;36.40408768;17.34061879;-2.200953354;22.86555221;7.74046947;14.88641156;-0.945870109;22.19092043;8.030268004;-4.994240814;19.73021708;7.623606314;3.342119846;8.393677069;10.66300377
109;hex;606.9057459;369.281152;14.23845926;-2.494218131;19.06498392;5.250536647;10.3632978;-0.636878483;17.48162491;5.507345424;6.617868642;15.46484605;-5.264856699;3.687956581;-7.43175031;7.553598079
110;hex;306.6884107;724.1639791;19.03922768;-0.617532566;27.23625523;8.516656577;15.75739271;0.607127053;25.42930199;9.213739959;-0.293256601;22.15973414;8.235055967;2.821021957;12.14294451;12.63418303
111;hex;1116.670942;180.6927975;18.72461294;-0.100705958;22.99382004;5.210956877;19.66044924;0.115325291;24.06527633;5.406278545;0.141802386;21.34324312;5.198423071;7.341068551;-6.74058426;7.403660395
112;hex;173.8037475;117.3692686;19.57777084;0.481179666;23.33771281;8.343007409;14.13489677;2.636900591;22.22003242;8.578860264;0.107082666;19.19138727;-8.11086727;-21.65693655;-11.35685474;11.51782656
113;hex;282.281715;107.0340046;19.6523897;0.574948071;6.232617459;-19.85545653;5.199292476;0.988825322;22.48091245;6.404392684;-10.74907893;19.91407435;-6.129514481;-0.705255489;8.456551574;8.677898258
114;hex;276.2011975;45.44135166;18.51707458;1.693350472;21.41931175;5.534502924;15.7039429;1.464846957;22.03479415;5.763618807;10.81814142;19.00049108;-5.596547826;-8.206609385;-6.969554665;7.631090581
115;res;299.509931;79.66237973;19.33020941;2.656209309;21.6955558;3.325539853;15.6683782;-2.638015306;21.58970561;3.389469406;-0.328183033;18.37202629;3.311075531;-3.975076404;4.597224372;4.905812865
116;hex;298.0481631;81.44079355;18.57735685;1.835655792;21.3266295;-5.824389488;15.42557738;-3.391694797;-5.943358016;-21.84386397;2.185580327;18.70558615;5.7868564;5.257359124;7.633314828;8.027840673
117;res;215.6810836;186.2748302;19.55133172;-0.364407608;18.82110237;5.327221869;18.64842242;-2.769850456;21.18230607;5.554479326;-0.086534214;18.67541066;5.327221874;-6.347299382;-7.383942348;7.682306124
118;hex;246.8704043;205.4484252;16.94183664;-1.906762649;18.25301304;10.80820657;11.76374341;-1.204051737;17.49049957;11.27136637;0.654542682;15.38967534;-10.60455798;-7.434749424;-11.11599114;14.934944
119;hex;222.4985444;216.7507164;19.47893661;2.219701712;21.1766795;8.793408365;15.32825453;-8.455507106;21.21757377;8.881207607;2.692417849;18.49649909;8.57066016;-7.285821205;-11.37940748;11.74388958
