¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;cub;510.5815014;546.769093;31.89164757;-4.01114097;21.82371628;23.5240027;20.18942804;-1.270821985;27.15240354;22.35999663;1.528180354;21.67240185;-23.60302445;4.680331878;22.15741102;24.69876948
1;cub;1019.140356;282.72135;26.79390756;3.867090275;18.40725128;20.40552271;17.60820153;1.212359202;23.33484695;18.95838029;3.016773589;20.4036496;17.95587533;-9.522159549;18.3985101;21.1289646
2;cub;575.5344978;609.4267699;52.85667218;1.954183635;50.15363513;37.54199361;47.23829874;1.32930372;53.72503761;41.61351039;5.745144438;48.97317706;37.5526364;1.269323865;41.61260017;48.76131604
3;cub;363.6708013;493.1301682;23.04305837;-2.315105225;25.41377158;12.16428034;21.18672363;-0.833182974;25.91737456;13.22272593;-2.835425699;12.0717955;23.88496942;-5.718018402;-16.24628156;16.96622787
4;cub;386.5702224;238.9331233;20.383436;-1.10024355;18.60657849;14.53492927;16.61963485;-2.039023979;19.29792389;15.72246772;-6.684408171;-17.49338623;-14.50165352;6.033138786;15.64856765;18.29792389
5;cub;985.1641516;606.2159515;16.88823088;-1.543252852;21.31242522;14.60846044;5.788711399;-1.614883915;17.22464342;13.98279234;-1.749196397;14.9415972;-13.09356607;-1.73287405;-13.94863283;15.13776535
6;cub;855.0389569;318.9793838;17.82669137;1.468171118;14.8806767;12.33826177;13.88321332;1.63513243;16.08670773;13.14847022;2.175571598;14.42642367;12.33809707;-0.917280203;-13.18638437;15.15124947
7;cub;196.5074054;230.4179146;20.07563997;-1.537024803;17.1617;12.54754576;17.34766614;-1.544827829;19.06282739;13.20345491;2.23328103;-17.25005012;-12.55296524;10.32237575;-13.62461909;16.74511909
8;cub;897.5042191;347.2096176;19.77423724;2.019558401;24.03832384;15.98454662;6.531382562;0.912143509;19.69163986;14.7714594;6.375271443;17.22884236;14.0853532;-12.21374287;-15.71354333;17.03886209
9;cub;741.7371446;177.3226161;14.98973766;-1.3946289;13.78794951;11.02580481;12.93659396;-1.595949589;14.83779345;12.1603409;-2.076254317;13.43864475;-11.01540358;-6.913272091;11.93221358;13.72668234
10;cub;961.8232092;98.14957544;18.7793076;1.500763417;14.51562484;13.33944952;14.11328369;1.780411765;15.79222491;14.41426721;2.253345168;14.3122927;13.33864928;5.414934024;13.80886362;15.12281407
11;cub;1101.505629;162.8639876;14.70329213;0.898380339;13.8328335;11.26802976;11.75453136;-0.731981187;14.80403416;12.51646294;-1.519662349;-12.88589601;-11.25909028;-18.68448722;-11.95192368;13.55403416
12;cub;790.7376587;418.6277405;16.56275409;-1.515671526;14.82520476;12.17718623;12.37456109;-1.647281857;15.59794069;13.31134062;-3.973186326;12.0720767;-13.69148444;5.540895838;12.90418316;14.87571847
13;cub;918.4715546;329.1220805;15.48372536;-0.678389906;13.11436698;11.41814816;12.44224698;0.236538628;14.56076016;12.05264505;-1.421678698;12.88822486;-11.48806552;-1.496595925;12.03172312;13.31030466
14;cub;188.6946421;52.75447224;22.77575328;-0.468456475;21.59773878;12.21518132;21.55353806;0.436382343;23.46326919;12.95721275;-4.125137838;21.58391906;-12.21543327;-2.448883208;15.57573603;18.21321482
15;cub;396.3716943;379.7294391;15.71869968;0.747248365;11.2613169;13.19693048;10.04119505;2.349649994;11.75019665;14.62653327;-0.097394526;13.10429566;10.91782471;-0.074664611;-11.56519086;13.46814536
16;cub;262.5683721;336.7711628;14.29723877;-0.652568472;12.52415986;11.18380314;10.889138;0.072281649;13.78837634;11.91560577;0.09979119;11.12192562;-11.73574311;-9.317965427;11.28842726;12.71687357
17;cub;189.6751233;389.8724454;13.69988622;-0.940149786;10.65149267;11.25683942;10.30983717;-0.90973585;12.51370979;11.13849935;-1.756650979;-11.26579778;-10.49329641;-0.184038898;-10.77588505;11.98153273
18;cub;271.487568;370.3896659;12.92525907;-0.683199283;10.39179202;11.35185421;8.36855421;-0.692503357;12.49523634;10.39865759;0.291473793;11.05097454;-10.03989643;-1.289050334;10.22748634;11.62618027
19;cub;1062.088809;179.1309235;17.28031039;-1.755687974;14.39862985;14.04149613;10.1666353;-0.439379732;14.9585418;14.21898673;0.729436628;12.97148573;-13.92770577;2.383127935;-13.48896176;14.59400009
20;cub;181.9802182;207.7192014;16.07640377;-1.590884224;14.82486191;12.04913983;11.74413895;-1.266511977;15.54007892;12.79298182;-2.375178213;13.81307607;-11.71728733;-8.620831528;-12.50264473;14.2632096
21;cub;784.9411675;441.4667466;14.59725467;0.041642585;12.60531322;11.27444726;11.53131964;-0.912546879;12.96345465;12.91690512;3.893924428;12.45965134;11.44400875;8.594763896;12.00629145;12.94163445
22;cub;1079.857689;563.9312321;11.63875477;0.434471422;9.142541215;10.27929004;7.937317424;0.876177259;11.27591711;9.371502954;1.85534031;8.678160861;9.855826715;1.116158649;9.361953577;10.52861064
23;cub;621.1823204;519.5021486;14.57572161;1.162973497;11.22388161;11.65485725;12.21827213;-0.312291972;13.06217543;11.9108696;-2.784170871;-11.48797178;-11.53398944;5.065800909;11.51090347;12.75448313
24;cub;187.3598882;22.29285414;18.74772234;0.392815243;18.19507157;19.20455558;-0.304181601;1.04671038;14.09834757;14.59139045;-2.699167057;13.27037976;-12.93385549;-10.58916777;13.12850749;14.44674043
25;cub;233.3625032;220.13441;21.6313543;2.45438658;15.9506976;14.14607659;17.2376535;0.375247277;18.10295834;15.0729782;0.023316135;16.1612792;14.18827966;4.712388983;15.39754206;16.38867261
26;cub;351.212364;162.353355;11.67681036;0.055007266;8.317706947;8.195227984;8.309469821;-0.757067293;9.02839048;8.843217209;-0.721496721;-8.186167536;-8.316673476;13.41066749;8.278933659;8.918703872
27;cub;370.2477138;162.0384941;16.56439482;1.589569242;12.61320627;10.68043568;12.48828712;1.392018969;13.71765589;11.43215176;2.293517113;12.56442086;10.68067252;-11.77321021;-10.94669807;12.71765589
28;cub;356.1079961;181.7255511;7.265915171;-2.435777654;5.770452477;4.817402722;4.68568389;-0.82975903;6.065163266;4.962558658;-3.167322207;-5.431049385;4.745473809;1.504228145;-4.860677126;5.676472794
29;cub;421.9160633;165.5861714;10.97365274;0.051237161;8.375916234;6.773782735;8.606736076;0.133524787;9.512064145;7.147090862;0.722760185;8.523310176;6.773782687;5.513815684;7.383776738;8.512064145
30;cub;437.8890494;159.6445879;13.18359889;0.105500861;8.804388555;9.793003864;8.30036974;1.217545289;10.77311788;9.27085053;-0.746225697;9.751406975;8.725915044;11.92892264;9.049494413;10.07709235
31;cub;512.6520872;103.6536546;22.6008938;-7.459706017;18.50084961;13.21598941;18.56411101;-1.839082967;20.421503;13.86795869;-0.556172559;18.53647337;13.21969376;-11.34820204;-13.73389701;17.70721729
32;cub;603.9197283;155.8192545;16.52545711;1.325817665;11.6179548;11.6346423;11.61719005;-0.42092836;12.48067161;12.65292239;2.111961739;11.63464222;-11.61729829;-7.313562088;11.63464198;12.58067161
33;cub;607.2425483;131.3256725;15.2233422;2.07888625;15.74579171;13.25638719;1.501876743;0.621390539;12.24732939;11.00986685;3.540218334;-10.41275715;11.39822485;-5.80232928;10.6585518;11.63520817
