¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;cub;518.205903;494.2977754;38.7482837;0.239531155;38.74291813;25.55102127;35.11112055;-0.392854018;42.06527743;27.38986884;-0.362056007;37.664954;-25.35619271;-2.30810889;29.96292716;36.32089868
1;cub;89.90157978;436.5800553;41.89618448;-0.489883422;32.11611188;34.0427286;29.76580648;-0.60596901;37.76537005;33.21411981;0.357530482;33.93061467;-31.33610715;-1.226819685;32.0603203;35.16537002
2;cub;550.8752176;119.7500785;30.75148246;-1.192447912;28.11167972;22.26984627;27.49558846;-1.716943983;31.24185786;23.55690176;7.553075297;27.64073206;-22.2776539;2.691862004;22.87333448;27.49185781
3;cub;372.2442677;675.0947612;52.38669724;-4.444357073;45.40530796;36.29090038;38.55938248;1.250309403;47.22466528;40.61427295;1.165759955;35.99280876;43.83688272;0.898847334;39.20589474;43.98518447
4;cub;934.6350346;779.0080973;37.44948018;1.688267164;38.36804859;23.10710548;34.40712337;1.472893422;41.83960276;24.73873137;-0.890178948;36.60421136;23.10381221;-3.494220394;27.67428094;31.83960256
5;cub;241.038266;79.10662668;35.93029613;1.03648727;28.88115055;28.88654082;28.17599073;1.232163685;34.34964095;29.47787904;1.828689691;28.58065236;28.88872823;6.538832172;28.73332635;31.31464095
6;cub;1041.630026;785.1313704;31.42123708;-0.960885891;27.13197701;23.16680619;24.94741454;-1.946178817;29.75497603;25.24629536;1.454086408;26.12901745;-23.16876961;-1.731081663;24.55395409;27.56843755
7;cub;1088.967643;565.9034609;27.89480375;-0.792304619;21.81427585;24.27592612;19.01328687;-1.01949194;27.22542624;22.49099208;-7.910486275;20.7118691;-24.49325402;1.651703661;21.6241566;25.22542623
8;cub;708.5077784;669.2555162;76.86891715;-2.420375281;77.59947013;43.89676829;71.35433807;-0.76032405;86.10610617;46.55021672;-1.894543301;43.89169199;-75.6293949;-1.731081665;48.53978551;62.10610581
9;cub;225.784192;370.040282;17.23109482;1.514350301;17.48633929;13.88032785;11.69933227;1.412497417;17.08804337;15.07879871;8.3991585;15.36414209;13.88919177;2.058984858;14.49730981;16.21046412
10;cub;243.4348534;166.3882612;21.73413273;0.45099963;23.18406971;16.38939199;13.42998963;-0.386252581;22.11216059;17.37549304;0.891338131;16.07612496;-19.90769178;-5.377927615;17.58715221;20.16835442
11;cub;226.4648303;126.4040498;18.78441452;-1.668399067;13.50412535;13.17375304;12.9526503;0.326541426;13.99304353;14.32693209;-2.430134846;13.27601054;-13.27946417;-2.429753249;13.27629085;14.27304353
12;cub;1128.775644;588.2428249;22.95190049;0.747690205;16.43015168;16.24771709;15.41152348;-0.122471065;17.89566028;17.46707756;-0.058936083;15.82391628;16.26232178;6.226742925;16.07777307;17.69566028
13;cub;988.0277642;761.6939999;54.6126693;-1.452294134;45.05061757;30.31781451;45.14750683;-8.019233908;50.1732214;32.64047918;1.098247646;30.44159906;45.05039183;1.150814531;36.1161708;42.17322139
14;cub;991.796454;703.0391487;16.94762341;0.109742019;13.14200091;10.73447101;13.09211073;-0.043252685;14.16206287;11.52155736;0.794849452;13.12966828;10.73723152;7.276954425;-11.81672137;13.24355325
15;cub;537.7194583;828.726313;32.64525166;-0.14707835;22.13350361;23.70487373;22.13350417;1.365663321;26.13633739;23.47240567;-0.967100569;23.72183679;22.13350377;-8.751579473;22.81811235;24.86361013
16;cub;785.374029;592.1038169;60.4946359;1.083197447;50.53405607;33.05268426;50.48082627;2.074666056;56.22458755;34.94183742;0.503463143;33.05437043;50.49178746;0.577027216;40.53447407;45.86409362
17;cub;125.7833556;827.9065706;15.73585501;1.195525504;10.55189689;11.71178867;10.55189689;0.480960116;12.75193238;11.42314259;2.033508593;10.55189683;11.72437378;-5.880596605;-11.02310837;12.28134414
