¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;cub;806.1559641;540.7567691;37.82834068;-1.280942967;29.35607935;32.41203117;26.61389163;-0.391579963;35.74830928;31.39729203;-0.449644073;32.39209685;-28.51760892;-8.434113795;29.88304315;33.6363301
1;cub;637.455914;210.722755;33.45341041;0.648978636;30.10714334;24.83523191;27.86778237;-0.686153477;32.57271454;26.70248189;-1.793108728;24.82459896;-29.73480398;-4.878357791;25.61719206;30.00812126
2;cub;392.4851093;531.5968765;34.82050751;-1.294993971;31.13385539;26.4385977;30.05132449;1.200766252;33.35390802;28.60341729;-0.582515314;30.637434;26.43421754;0.979629217;28.04070021;31.53532965
3;cub;382.8186885;67.67864827;32.11712319;0.93576924;28.9513135;23.19574661;26.69513479;2.184273789;30.87075091;25.09218317;7.908673734;27.95869203;23.17379688;-1.448013291;23.6705799;28.75681622
4;cub;196.1517122;32.43449883;23.67443576;-0.972347319;21.06154086;18.69766652;18.06460725;-2.035359852;22.28841631;20.8840104;-1.720262517;19.89957062;-18.63709755;1.403514387;19.10792893;21.28841631
5;cub;909.8079161;203.2565551;34.98971477;0.166299281;28.09672682;29.18443981;26.50884276;1.161556059;31.53336362;29.62010283;-0.653521918;28.95035422;27.54121726;0.906554713;28.0471038;30.45003029
6;cub;538.7966468;51.30917385;25.4871075;1.364020673;20.97999915;19.77912836;19.15574048;1.215959769;23.13993721;20.53245232;2.136281272;20.15064086;19.78910591;2.143011782;19.91873987;21.8686806
7;cub;270.4923118;542.9113518;22.57189812;0.434210101;18.32812027;17.70210025;16.48027697;1.967885713;18.01542617;20.99623295;-0.349013626;17.70251122;17.6814476;-1.919595678;17.68833122;19.35067102
8;cub;487.607686;429.4122407;49.40473691;0.310598614;43.51224572;32.99057133;42.79130845;-0.495148369;49.56823155;35.42307568;-0.344332201;42.95568406;-32.99057118;-0.600230472;38.8294856;43.6537015
9;cub;723.267406;76.74688797;25.80961998;-1.176276021;24.76734786;20.78688473;19.04902777;-1.942121301;24.92879993;22.23875309;-1.978196167;22.46123605;-20.44091728;-1.992542515;21.18919373;24.15102216
10;cub;117.3581476;66.16259185;22.60198832;-0.127905746;17.93230179;17.70690643;17.44595091;-2.204346042;18.39170394;20.34726985;2.232472773;17.81124089;-17.70650393;5.369791241;-17.77872051;19.29170394
11;cub;857.1195131;268.7351447;37.80702568;-1.303195262;34.95110182;26.64468086;28.08247185;1.13285394;36.68604253;28.49561609;-0.627209349;32.94515601;26.25644247;-2.107341042;27.5535935;34.00685621
12;cub;1014.617135;336.2145248;19.95412919;1.402015289;17.04961772;15.51420833;15.26965063;1.675385666;18.00258395;16.68436548;2.207427316;15.92670532;15.55828353;10.07561502;15.89105846;17.45712941
