¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;sf;509.0693069;57.94389439;8.203607547;0.582448038;8.797463055;7.224189882;5.104824565;-0.436441003;8.225894975;7.793062844;-0.636309484;-6.763767054;-7.450054843;10.72227524;-6.931175428;7.996342932
1;sf;1003.569069;28.15315315;8.590965583;-0.331460068;9.164263748;8.348767072;4.32700236;-0.985697968;8.701830801;8.16107276;-2.823562466;7.399973776;7.82798185;10.4887806;-7.606870209;8.432200698
2;sf;816.8572404;638.9378415;9.012175683;-0.163791396;9.816046963;7.826093432;5.639245989;-0.12779278;9.320304479;8.36401765;0.390761163;-8.271393461;-7.496858869;0.252884105;7.901211555;8.802777436
3;sf;393.0758525;108.5810717;9.060650097;0.096909909;9.723765994;7.634611941;5.907917688;-0.128155847;9.250039637;8.327175458;0.345764026;-8.197426395;-7.538778918;-1.033070323;7.840656061;8.863676
4;sf;226.7922374;74.07229833;8.554639521;-2.01041761;9.186145483;7.427310305;5.277653254;-0.999985153;8.482533677;8.16879923;0.315310603;7.599398474;-7.219873685;-10.67114333;7.351058271;8.321967446
5;sf;27.99282297;236.6881978;8.411734289;-0.460840793;8.597697785;7.520710747;5.23711369;-0.502373109;8.299005698;7.949337315;-0.10922048;40.0037749;-1.509580761;-4.776796974;-7.410926243;8.146239803
6;sf;827.6800297;26.71789161;8.871298767;0.040982305;8.881360533;7.677807354;5.296851668;-0.707701154;8.55987859;8.30757551;-0.171906488;-7.347686153;-7.448062163;2.022258614;7.507215912;8.423098554
7;sf;812.0281294;49.97116737;8.988176013;-0.125677682;9.244584168;8.01682657;5.512026469;0.513766271;8.814279633;8.739643949;0.985411582;8.128993522;7.637514047;10.72207808;-7.672314467;8.741074511
8;sf;509.1485069;274.5819209;8.404309553;-0.44737846;8.900805461;7.688815369;4.556619477;0.001010954;8.169930457;7.922630798;-2.811753779;38.81096753;-3.132359895;-53.8509507;-7.201078891;8.061026835
9;sf;546.6307339;46.14143731;8.620445904;-0.259288506;8.949557191;7.480107607;5.512681088;-0.178154861;8.65767886;7.954510674;0.346485844;7.582172024;7.321685482;11.61191331;7.379530472;8.350986325
10;sf;500.8494398;127.4894958;8.912974285;0.191632875;9.321784549;8.190901503;5.14128452;0.453045348;8.700724658;8.710584653;0.241539248;7.911148482;7.681260257;-4.1816687;7.878909023;8.706634614
11;sf;187.5535354;97.88282828;9.152691854;-1.402448774;9.71172979;8.327056865;5.174533861;-1.279632526;9.102275306;8.615689468;-1.959955234;-7.854355669;-8.10922109;8.983447199;-7.951421021;8.859803317
12;sf;769.1046278;121.3407109;9.156870825;-1.47117585;9.192432312;8.640884318;5.086026427;-0.39387732;9.132966397;8.594327039;-2.819659214;-7.998773951;-7.80861574;-2.808072475;7.91123231;8.895372227
13;sf;358.969281;16.24379085;9.375074749;-0.534098851;9.734884553;8.462030562;5.54332885;-0.107771968;9.141137242;8.83234662;-2.573195858;-8.326737296;-7.805112696;-0.469330364;7.99266435;9.029171081
14;sf;991.2267658;745.9268897;9.381344555;-0.763083891;9.983034263;9.169887655;4.599282054;-0.671280316;9.569100493;8.963424735;-0.225256031;-8.034949025;-8.645088019;0.998906944;8.316065788;9.240837346
15;sf;557.5829187;66.473466;8.332030774;0.133419723;8.554861562;7.24941601;5.168865651;-0.587073011;8.359475203;7.785205366;-1.229541196;-7.190843982;-7.053201683;4.073970435;7.193796804;8.01630755
16;sf;745.0171278;31.27667984;9.305099362;0.273310181;9.942865969;8.028058278;5.660365977;-0.086689954;9.186669397;8.749054882;-0.589224208;-7.638758739;-8.360109309;35.65466726;7.934050631;9.009762148
17;sf;404.0281804;133.4154589;8.47656592;-0.247547573;8.638297436;7.140021943;5.160472021;-0.150764765;8.31871053;7.911518133;-1.189001417;-6.909798011;-7.253245573;-0.075536607;6.955696705;8.117931108
