¹;marker;CM.x;CM.y;R;fi;a;b;h;fi;a;b;f1;a;b;f1;a;r
0;sf;1116.93849;42.3558011;12.43678367;1.811488809;13.17523595;11.24896105;7.137796629;0.795011791;12.32854958;11.73920037;2.316061069;-10.92966569;10.7209486;16.57173228;10.73657739;11.92477968
1;sf;1136.934668;637.0720056;12.77409766;2.530636354;13.29008351;11.14922395;7.801286215;0.815461704;12.65721706;12.01583185;0.581001019;11.32886229;10.83050452;9.252059408;10.8273434;12.22875639
2;sf;841.7981982;41.45441441;12.4996282;-0.673169978;13.04250199;11.27203382;7.848521018;0.276004998;12.21684022;12.01888336;-0.127462285;39.99727737;-2.215059452;-2.709562734;11.11176141;12.12652909
3;sf;286.0038226;812.2293578;12.21948397;-0.486447078;13.36844398;10.74866055;7.301706415;0.522624778;12.27710474;11.2535546;0.722487839;11.35206913;10.15247301;-4.319845008;10.45787822;11.82205548
4;sf;540.9165819;172.9745677;12.91496424;-1.245402347;13.62671246;12.25821674;6.582710636;-0.110720321;12.91009012;12.10439127;-1.183495779;11.76023973;-11.04765787;-12.00648215;-11.31625181;12.52420424
5;sf;954.0242424;205.3215909;12.36421972;0.345706631;12.92128804;10.81416896;7.317193524;0.852098296;11.7209296;11.86634525;-0.36691326;10.23793857;10.70832175;1.31086658;10.49207684;11.81379122
6;sf;361.0995866;36.70048854;12.23420817;0.597589818;12.59135658;10.9840832;7.43218633;0.75624248;12.10939915;11.67800045;-0.706596247;10.23344552;10.8790441;-13.90820598;-10.38261518;11.89994736
7;sf;334.7599437;13.09926082;12.72158237;0.008709786;12.71376211;10.72221493;8.117366858;0.10950248;12.59750217;12.08680452;0.609461978;10.4281137;-11.19199761;0.5037222;10.7817138;12.37222772
8;sf;542.0294511;237.6308568;13.00001077;0.282396342;14.5298521;11.34409262;7.702673374;-0.351041531;13.16435206;12.0188995;-0.874037753;12.03553344;-11.04789674;-1.246909989;-11.37757175;12.64853469
9;sf;508.8835979;765.4571429;12.84674026;-0.741520348;13.22966751;11.38590044;8.192187313;0.189813981;12.91341539;11.63914303;-0.081362663;11.0692897;-11.0274454;0.621595144;-11.02323234;12.17552238
10;sf;621.6629506;837.3318469;12.24014482;2.019699108;13.1610872;10.79430389;7.56488106;1.424618288;12.40507757;11.45769041;3.051029897;-10.63012475;10.93309193;2.572339561;10.72994378;11.86203794
11;sf;597.1220657;25.33489828;11.88626584;1.307521773;12.66900942;11.2845272;5.9351775;0.65962945;11.9098436;11.33452971;0.916043252;10.54578548;10.15471596;-0.368295384;10.32913474;11.6872344
12;sf;637.327658;810.3965191;12.23958047;1.43742208;12.61294266;11.12846635;7.279944015;1.101817071;12.01853251;11.75127476;2.672553937;10.58399154;10.75062811;-2.496082109;-10.69521026;11.86526352
13;sf;942.1654108;813.2956584;12.40363443;1.296690325;13.85913704;11.39277527;6.469890864;1.450318199;12.49215173;11.88974075;5.17396005;11.14267579;11.15796983;-5.870951603;11.02011332;12.18415952
14;sf;359.5850945;525.4790508;12.25684549;-0.183464573;13.73016653;10.99969544;6.330723458;-0.166725391;12.56891395;11.33433386;0.041820294;10.9536054;-10.45768237;0.206710993;10.67402044;11.80050646
15;sf;873.7606342;165.1616396;12.13753735;0.670901733;12.34865936;10.86875087;7.511309819;0.409186897;12.00614747;11.47806624;1.84163909;-10.38903555;10.260613;-22.14759297;-10.25675969;11.79140388
16;sf;804.6859791;365.4550019;12.14199355;1.064092941;12.57682817;10.97550224;6.891057753;0.559061244;11.81477161;11.56118758;1.126246272;10.49726912;10.48682741;-1.273078076;10.55713609;11.69739121
17;sf;511.6341899;12.93076374;12.63491898;-0.24874625;13.12006214;11.10774706;7.760960182;0.540993448;12.41108388;11.95286842;0.198875775;10.99131035;-10.26360931;0.514461088;10.78164105;12.14804928
18;sf;217.9595449;91.25958702;11.80026056;-0.078978579;12.54517825;9.997955715;7.009425019;0.195597582;11.83218106;10.64787993;-0.467588121;-10.4048643;9.489992029;-5.971569202;10.07859431;11.35287496
19;sf;761.3949904;126.1263969;12.2597061;-0.360919099;12.78691063;10.7739047;7.203483361;-0.01753195;12.09269855;11.2377262;-0.570199201;10.87961166;-10.15735795;-4.486508015;-10.43484639;11.66979327
20;sf;1136.307103;194.9995964;12.0546106;0.434748583;12.17304657;10.48722666;7.451931861;0.322281545;12.01786401;10.93494207;0.23870658;10.25906063;9.914829891;-12.8470591;-10.23496739;11.33177042
21;sf;596.9407801;172.7400709;12.69578615;-0.223724148;14.45332614;11.41941822;6.555129088;0.38923301;12.82817193;11.65188982;0.031811911;11.5327666;11.0573544;3.192803555;11.21948529;12.16958607
22;sf;1089.69122;197.8627232;12.26301788;0.785397949;13.08912352;11.62911806;6.638248435;0.620232253;12.02281943;11.83118795;1.371966354;10.47345709;10.89119491;0.305315867;10.69741965;11.91168562
23;sf;966.4830447;380.8845599;12.48372222;-0.231816949;13.60569223;11.65414588;6.402923822;-0.551715649;12.26759727;11.87660279;-0.620539125;11.16442908;-11.14504815;-8.124050323;-10.90613186;12.16544793
24;sf;676.7870763;830.3859463;12.81759658;1.306216274;13.36090537;11.78794334;6.578171261;0.808108464;12.68594766;11.82422425;2.841081347;11.09531659;10.70014099;0.318554963;10.90606173;12.31402162
